iteration,total,bc,pde,supervised
225,3.320154e14,8.212397,1.5393566,3.320154e14
226,3.320154e14,8.2117,1.5532329,3.320154e14
227,3.320154e14,8.211115,1.5671054,3.320154e14
228,3.320154e14,8.210686,1.5806909,3.320154e14
229,3.320154e14,8.210468,1.5936753,3.320154e14
230,3.320154e14,8.210498,1.6057625,3.320154e14
231,3.320154e14,8.21078,1.6167082,3.320154e14
232,3.320154e14,8.2112875,1.6263572,3.320154e14
233,3.320154e14,8.211981,1.6346506,3.320154e14
234,3.320154e14,8.212784,1.6416216,3.320154e14
235,3.320154e14,8.213622,1.6473682,3.320154e14
236,3.320154e14,8.21441,1.6520265,3.320154e14
237,3.3201537e14,8.215087,1.6557487,3.3201537e14
238,3.3201537e14,8.215601,1.6586883,3.3201537e14
239,3.3201537e14,8.215926,1.6609907,3.3201537e14
240,3.3201537e14,8.216065,1.6627967,3.3201537e14
241,3.3201537e14,8.2160425,1.6642464,3.3201537e14
242,3.3201537e14,8.215888,1.6654766,3.3201537e14
243,3.3201537e14,8.21565,1.6666185,3.3201537e14
244,3.3201537e14,8.21538,1.6678021,3.3201537e14
245,3.3201537e14,8.215123,1.6691383,3.3201537e14
246,3.3201537e14,8.214928,1.6707169,3.3201537e14
247,3.3201537e14,8.214821,1.6726036,3.3201537e14
248,3.3201537e14,8.214837,1.6748326,3.3201537e14
249,3.3201537e14,8.214982,1.6774158,3.3201537e14
250,3.3201537e14,8.215262,1.6803409,3.3201537e14
251,3.3201537e14,8.215668,1.6835804,3.3201537e14
252,3.3201537e14,8.2161875,1.687097,3.3201537e14
253,3.3201537e14,8.216785,1.6908405,3.3201537e14
254,3.3201537e14,8.217446,1.6947535,3.3201537e14
255,3.3201537e14,8.218132,1.698763,3.3201537e14
256,3.3201537e14,8.218827,1.7027794,3.3201537e14
257,3.3201537e14,8.219513,1.7066885,3.3201537e14
258,3.3201537e14,8.220183,1.710358,3.3201537e14
259,3.3201537e14,8.22084,1.713643,3.3201537e14
260,3.3201537e14,8.221488,1.7164049,3.3201537e14
261,3.3201537e14,8.222122,1.7185386,3.3201537e14
262,3.3201537e14,8.222729,1.7199996,3.3201537e14
263,3.3201537e14,8.22327,1.7208343,3.3201537e14
264,3.3201537e14,8.223676,1.7211894,3.3201537e14
265,3.3201537e14,8.223845,1.7213053,3.3201537e14
266,3.3201537e14,8.22366,1.7214904,3.3201537e14
267,3.3201537e14,8.223011,1.7220896,3.3201537e14
268,3.3201537e14,8.221825,1.7234709,3.3201537e14
269,3.3201537e14,8.220085,1.7260066,3.3201537e14
270,3.3201537e14,8.217844,1.7300447,3.3201537e14
271,3.3201537e14,8.215231,1.7358587,3.3201537e14
272,3.3201537e14,8.212433,1.7435746,3.3201537e14
273,3.3201537e14,8.209674,1.7531209,3.3201537e14
274,3.3201537e14,8.207165,1.7642322,3.3201537e14
275,3.3201537e14,8.205104,1.7765073,3.3201537e14
276,3.3201537e14,8.203627,1.7894984,3.3201537e14
277,3.3201537e14,8.202804,1.8028185,3.3201537e14
278,3.3201537e14,8.202623,1.8161943,3.3201537e14
279,3.3201537e14,8.203023,1.8294858,3.3201537e14
280,3.3201537e14,8.203872,1.8426478,3.3201537e14
281,3.3201537e14,8.205008,1.8556743,3.3201537e14
282,3.3201537e14,8.206256,1.8685327,3.3201537e14
283,3.3201537e14,8.207455,1.8811371,3.3201537e14
284,3.3201537e14,8.20846,1.8933449,3.3201537e14
285,3.3201537e14,8.209162,1.9049875,3.3201537e14
286,3.3201537e14,8.209504,1.9159081,3.3201537e14
287,3.3201537e14,8.209469,1.9259999,3.3201537e14
288,3.3201537e14,8.209079,1.9352288,3.3201537e14
289,3.3201537e14,8.20839,1.9436253,3.3201537e14
290,3.3201537e14,8.207492,1.9512649,3.3201537e14
291,3.3201537e14,8.206477,1.9582353,3.3201537e14
292,3.3201537e14,8.205458,1.9646142,3.3201537e14
293,3.3201537e14,8.204524,1.9704521,3.3201537e14
294,3.3201537e14,8.20377,1.9757777,3.3201537e14
295,3.3201537e14,8.203246,1.9806104,3.3201537e14
296,3.3201537e14,8.202985,1.9849756,3.3201537e14
297,3.3201537e14,8.202987,1.9889247,3.3201537e14
298,3.3201537e14,8.203227,1.9925292,3.3201537e14
299,3.3201537e14,8.203653,1.9958829,3.3201537e14
300,3.3201537e14,8.204196,1.9990853,3.3201537e14
301,3.3201537e14,8.2047825,2.0022216,3.3201537e14
302,3.3201537e14,8.205344,2.0053623,3.3201537e14
303,3.3201537e14,8.205814,2.0085487,3.3201537e14
304,3.3201537e14,8.206146,2.0118043,3.3201537e14
305,3.3201537e14,8.206309,2.0151389,3.3201537e14
306,3.3201537e14,8.206296,2.0185592,3.3201537e14
307,3.3201537e14,8.206103,2.0220783,3.3201537e14
308,3.3201537e14,8.205762,2.0257096,3.3201537e14
309,3.3201537e14,8.2052965,2.0294702,3.3201537e14
310,3.3201537e14,8.204748,2.0333707,3.3201537e14
311,3.3201537e14,8.204163,2.037411,3.3201537e14
312,3.3201537e14,8.203579,2.041582,3.3201537e14
313,3.3201537e14,8.203038,2.0458589,3.3201537e14
314,3.3201537e14,8.202561,2.0502152,3.3201537e14
315,3.3201537e14,8.202172,2.0546234,3.3201537e14
316,3.3201537e14,8.201869,2.0590591,3.3201537e14
317,3.3201537e14,8.201648,2.0635056,3.3201537e14
318,3.3201537e14,8.2014885,2.0679514,3.3201537e14
319,3.3201537e14,8.201373,2.0723867,3.3201537e14
320,3.3201537e14,8.201275,2.076804,3.3201537e14
321,3.3201537e14,8.201161,2.0811899,3.3201537e14
322,3.3201537e14,8.201021,2.0855286,3.3201537e14
323,3.3201537e14,8.200832,2.0898027,3.3201537e14
324,3.3201537e14,8.200588,2.0939982,3.3201537e14
325,3.3201537e14,8.200284,2.0980997,3.3201537e14
326,3.3201537e14,8.1999235,2.1021023,3.3201537e14
327,3.3201537e14,8.199518,2.1060026,3.3201537e14
328,3.3201537e14,8.199074,2.1098025,3.3201537e14
329,3.3201537e14,8.198619,2.113507,3.3201537e14
330,3.3201537e14,8.198157,2.1171157,3.3201537e14
331,3.3201537e14,8.197713,2.1206338,3.3201537e14
332,3.3201537e14,8.197295,2.1240623,3.3201537e14
333,3.3201537e14,8.196913,2.127403,3.3201537e14
334,3.3201537e14,8.196571,2.1306612,3.3201537e14
335,3.3201537e14,8.196268,2.1338458,3.3201537e14
336,3.3201537e14,8.195992,2.1369681,3.3201537e14
337,3.3201537e14,8.195748,2.1400387,3.3201537e14
338,3.3201537e14,8.195515,2.1430738,3.3201537e14
339,3.3201537e14,8.195284,2.14608,3.3201537e14
340,3.3201537e14,8.1950445,2.14907,3.3201537e14
341,3.3201537e14,8.194785,2.152048,3.3201537e14
342,3.3201537e14,8.194503,2.1550233,3.3201537e14
343,3.3201537e14,8.194191,2.1579983,3.3201537e14
344,3.3201537e14,8.1938505,2.1609783,3.3201537e14
345,3.3201537e14,8.193484,2.1639688,3.3201537e14
346,3.3201537e14,8.193094,2.166974,3.3201537e14
347,3.3201537e14,8.192687,2.1699991,3.3201537e14
348,3.3201537e14,8.192268,2.1730444,3.3201537e14
349,3.3201537e14,8.191844,2.1761115,3.3201537e14
350,3.3201537e14,8.191423,2.179197,3.3201537e14
351,3.3201537e14,8.191007,2.1822991,3.3201537e14
352,3.3201537e14,8.190597,2.1854153,3.3201537e14
353,3.3201537e14,8.190198,2.1885428,3.3201537e14
354,3.3201537e14,8.189806,2.1916804,3.3201537e14
355,3.3201537e14,8.189421,2.1948252,3.3201537e14
356,3.3201537e14,8.189038,2.197976,3.3201537e14
357,3.3201537e14,8.188649,2.2011297,3.3201537e14
358,3.3201537e14,8.188253,2.2042844,3.3201537e14
359,3.3201537e14,8.187849,2.207435,3.3201537e14
360,3.3201537e14,8.187434,2.2105782,3.3201537e14
361,3.3201537e14,8.187003,2.2137098,3.3201537e14
362,3.3201537e14,8.186559,2.2168288,3.3201537e14
363,3.3201537e14,8.1861,2.2199333,3.3201537e14
364,3.3201537e14,8.185629,2.223021,3.3201537e14
365,3.3201537e14,8.18515,2.2260919,3.3201537e14
366,3.3201537e14,8.184663,2.229144,3.3201537e14
367,3.3201537e14,8.184171,2.232178,3.3201537e14
368,3.3201537e14,8.183678,2.2351918,3.3201537e14
369,3.3201537e14,8.183187,2.2381856,3.3201537e14
370,3.3201537e14,8.182694,2.241161,3.3201537e14
371,3.3201537e14,8.182206,2.244119,3.3201537e14
372,3.3201537e14,8.181713,2.2470613,3.3201537e14
373,3.3201537e14,8.181224,2.2499897,3.3201537e14
374,3.3201537e14,8.180733,2.25291,3.3201537e14
375,3.3201537e14,8.180236,2.2558224,3.3201537e14
376,3.3201537e14,8.179735,2.2587304,3.3201537e14
377,3.3201537e14,8.179227,2.2616372,3.3201537e14
378,3.3201537e14,8.17871,2.2645462,3.3201537e14
379,3.3201537e14,8.178179,2.2674606,3.3201537e14
380,3.3201537e14,8.177642,2.2703846,3.3201537e14
381,3.3201537e14,8.1770935,2.2733238,3.3201537e14
382,3.3201537e14,8.176536,2.27628,3.3201537e14
383,3.3201537e14,8.175969,2.2792585,3.3201537e14
384,3.3201537e14,8.175391,2.282264,3.3201537e14
385,3.3201537e14,8.174808,2.2853,3.3201537e14
386,3.3201537e14,8.174219,2.2883704,3.3201537e14
387,3.3201537e14,8.173623,2.2914817,3.3201537e14
388,3.3201537e14,8.173021,2.2946343,3.3201537e14
389,3.3201537e14,8.172411,2.2978365,3.3201537e14
390,3.3201537e14,8.171796,2.3010917,3.3201537e14
391,3.3201537e14,8.171176,2.3044045,3.3201537e14
392,3.3201537e14,8.170547,2.3077822,3.3201537e14
393,3.3201537e14,8.169909,2.3112283,3.3201537e14
394,3.3201537e14,8.169259,2.3147473,3.3201537e14
395,3.3201537e14,8.168601,2.3183463,3.3201537e14
396,3.3201537e14,8.1679325,2.3220317,3.3201537e14
397,3.3201537e14,8.1672535,2.3258066,3.3201537e14
398,3.3201537e14,8.16656,2.3296814,3.3201537e14
399,3.3201537e14,8.165856,2.3336601,3.3201537e14
400,3.3201537e14,8.16514,2.3377502,3.3201537e14
401,3.3201537e14,8.16442,2.3419611,3.3201537e14
402,3.3201537e14,8.163683,2.3462996,3.3201537e14
403,3.3201537e14,8.162935,2.3507757,3.3201537e14
404,3.3201537e14,8.162181,2.3553977,3.3201537e14
405,3.3201537e14,8.16142,2.3601768,3.3201537e14
406,3.3201537e14,8.160642,2.3651237,3.3201537e14
407,3.3201537e14,8.159859,2.3702526,3.3201537e14
408,3.3201537e14,8.159066,2.3755746,3.3201537e14
409,3.3201537e14,8.158264,2.3811066,3.3201537e14
410,3.3201537e14,8.157452,2.3868625,3.3201537e14
411,3.3201537e14,8.156633,2.3928616,3.3201537e14
412,3.3201537e14,8.155802,2.3991222,3.3201537e14
413,3.3201537e14,8.154956,2.405663,3.3201537e14
414,3.3201537e14,8.154105,2.4125059,3.3201537e14
415,3.3201537e14,8.153245,2.419674,3.3201537e14
416,3.3201537e14,8.152371,2.427189,3.3201537e14
417,3.3201537e14,8.151489,2.4350748,3.3201537e14
418,3.3201537e14,8.150601,2.4433548,3.3201537e14
419,3.3201537e14,8.149705,2.4520514,3.3201537e14
420,3.3201537e14,8.1488,2.4611871,3.3201537e14
421,3.3201537e14,8.147891,2.4707806,3.3201537e14
422,3.3201537e14,8.146975,2.4808505,3.3201537e14
423,3.3201537e14,8.146077,2.4914095,3.3201537e14
424,3.3201537e14,8.145185,2.5024784,3.3201537e14
425,3.3201537e14,8.144289,2.5141172,3.3201537e14
426,3.3201537e14,8.1433735,2.5263908,3.3201537e14
427,3.3201537e14,8.142439,2.5393338,3.3201537e14
428,3.3201537e14,8.141499,2.552925,3.3201537e14
429,3.3201537e14,8.140558,2.5670934,3.3201537e14
430,3.3201537e14,8.139637,2.5817595,3.3201537e14
431,3.3201537e14,8.138744,2.5968628,3.3201537e14
432,3.3201537e14,8.137883,2.6123874,3.3201537e14
433,3.3201537e14,8.137046,2.6283572,3.3201537e14
434,3.3201537e14,8.13623,2.6448057,3.3201537e14
435,3.3201537e14,8.135455,2.66173,3.3201537e14
436,3.3201537e14,8.134728,2.679038,3.3201537e14
437,3.3201537e14,8.134053,2.6965282,3.3201537e14
438,3.3201537e14,8.133461,2.7140121,3.3201537e14
439,3.3201537e14,8.132953,2.7314334,3.3201537e14
440,3.3201537e14,8.132499,2.7489042,3.3201537e14
441,3.3201537e14,8.132068,2.7666311,3.3201537e14
442,3.3201537e14,8.131627,2.7847981,3.3201537e14
443,3.3201537e14,8.131161,2.8034775,3.3201537e14
444,3.3201537e14,8.130693,2.822606,3.3201537e14
445,3.3201537e14,8.13026,2.8420365,3.3201537e14
446,3.3201537e14,8.129949,2.8616266,3.3201537e14
447,3.3201537e14,8.129699,2.881361,3.3201537e14
448,3.3201537e14,8.129498,2.9013479,3.3201537e14
449,3.3201537e14,8.129323,2.9217083,3.3201537e14
450,3.3201537e14,8.129181,2.942487,3.3201537e14
451,3.3201537e14,8.129064,2.9636106,3.3201537e14
452,3.3201537e14,8.128995,2.984912,3.3201537e14
453,3.3201537e14,8.129,3.006191,3.3201537e14
454,3.3201537e14,8.129086,3.027307,3.3201537e14
455,3.3201537e14,8.129245,3.0482123,3.3201537e14
456,3.3201537e14,8.129455,3.068944,3.3201537e14
457,3.3201537e14,8.129693,3.0895526,3.3201537e14
458,3.3201537e14,8.129943,3.1100504,3.3201537e14
459,3.3201537e14,8.130208,3.1303794,3.3201537e14
460,3.3201537e14,8.130492,3.150424,3.3201537e14
461,3.3201537e14,8.130818,3.1700652,3.3201537e14
462,3.3201537e14,8.13119,3.189227,3.3201537e14
463,3.3201537e14,8.131611,3.2079022,3.3201537e14
464,3.3201537e14,8.132071,3.2261455,3.3201537e14
465,3.3201537e14,8.132559,3.2440264,3.3201537e14
466,3.3201537e14,8.133069,3.2615898,3.3201537e14
467,3.3201537e14,8.133602,3.2788408,3.3201537e14
468,3.3201537e14,8.134166,3.2957537,3.3201537e14
469,3.3201537e14,8.134762,3.312297,3.3201537e14
470,3.3201537e14,8.135389,3.328471,3.3201537e14
471,3.3201537e14,8.136047,3.344319,3.3201537e14
472,3.3201537e14,8.136717,3.3599246,3.3201537e14
473,3.3201537e14,8.137385,3.375371,3.3201537e14
474,3.3201537e14,8.1380415,3.39074,3.3201537e14
475,3.3201537e14,8.13868,3.4060662,3.3201537e14
476,3.3201537e14,8.139305,3.4213693,3.3201537e14
477,3.3201537e14,8.139919,3.4366581,3.3201537e14
478,3.3201537e14,8.140517,3.4519544,3.3201537e14
479,3.3201537e14,8.141106,3.4673078,3.3201537e14
480,3.3201537e14,8.141672,3.4827778,3.3201537e14
481,3.3201537e14,8.142212,3.4984317,3.3201537e14
482,3.3201537e14,8.142727,3.5143204,3.3201537e14
